                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.86958,                0.72198,                 1.1634,                0.84825,                0.72365,                0.78363,                0.57491,                 1.1495,                0.81175,                  1.327,             0.00052827,             0.00052827,             0.00052827
                     72,                 0.8746,                0.70726,                 1.1648,                0.85529,                0.72246,                 0.7858,                0.57688,                 1.1518,                0.80346,                 1.3255,             0.00051177,             0.00051177,             0.00051177
                     73,                0.86679,                0.71512,                 1.1637,                0.84501,                0.72496,                0.78501,                0.57821,                 1.1458,                 0.7965,                 1.3218,             0.00049527,             0.00049527,             0.00049527
                     74,                0.87154,                0.70101,                 1.1585,                0.84066,                0.72983,                0.78859,                0.57981,                  1.148,                0.79613,                 1.3232,             0.00047876,             0.00047876,             0.00047876
                     75,                 0.8525,                0.68964,                 1.1501,                 0.8597,                0.71774,                0.78856,                0.57824,                 1.1519,                0.79652,                 1.3258,             0.00046226,             0.00046226,             0.00046226
                     76,                0.86282,                 0.6966,                 1.1543,                0.85433,                0.71924,                0.78636,                0.57862,                 1.1433,                 0.7952,                 1.3197,             0.00044576,             0.00044576,             0.00044576
                     77,                0.85355,                 0.6892,                 1.1576,                0.84357,                0.73264,                0.78727,                0.57866,                 1.1432,                0.78888,                 1.3198,             0.00042925,             0.00042925,             0.00042925
                     78,                0.85791,                 0.6947,                 1.1555,                0.85221,                0.71617,                0.78742,                0.57873,                 1.1437,                0.79632,                 1.3189,             0.00041275,             0.00041275,             0.00041275
                     79,                0.86185,                0.69195,                 1.1573,                0.84777,                0.72953,                0.79161,                0.58235,                 1.1465,                  0.787,                 1.3193,             0.00039625,             0.00039625,             0.00039625
                     80,                0.85747,                0.68757,                 1.1503,                0.85102,                 0.7281,                0.79119,                 0.5825,                  1.143,                0.78388,                 1.3159,             0.00037974,             0.00037974,             0.00037974
                     81,                0.83841,                0.66715,                 1.1412,                0.84838,                0.73349,                0.79128,                0.58213,                 1.1428,                0.78629,                 1.3153,             0.00036324,             0.00036324,             0.00036324
                     82,                0.84677,                0.67662,                 1.1456,                0.84954,                0.73584,                0.79087,                0.58269,                  1.143,                0.78595,                 1.3168,             0.00034674,             0.00034674,             0.00034674
                     83,                0.82995,                0.65932,                 1.1346,                0.84898,                0.72803,                0.78979,                0.58188,                 1.1438,                0.78855,                  1.318,             0.00033023,             0.00033023,             0.00033023
                     84,                0.83545,                0.65648,                 1.1393,                0.84809,                0.73498,                0.79131,                0.58397,                 1.1376,                  0.782,                 1.3157,             0.00031373,             0.00031373,             0.00031373
                     85,                 0.8363,                0.65532,                 1.1414,                0.84836,                0.73164,                0.79072,                0.58377,                 1.1374,                0.78295,                 1.3198,             0.00029723,             0.00029723,             0.00029723
                     86,                0.82949,                0.65424,                 1.1355,                0.85142,                0.73074,                0.79198,                0.58536,                 1.1366,                0.78498,                 1.3204,             0.00028072,             0.00028072,             0.00028072
                     87,                0.83581,                0.65544,                 1.1385,                0.84949,                0.73482,                0.79035,                0.58468,                 1.1394,                0.78165,                  1.318,             0.00026422,             0.00026422,             0.00026422
                     88,                0.84447,                 0.6699,                 1.1438,                 0.8494,                  0.733,                0.79097,                0.58588,                 1.1348,                0.77808,                 1.3144,             0.00024772,             0.00024772,             0.00024772
                     89,                0.82828,                0.64211,                 1.1279,                0.85837,                0.72911,                0.79134,                0.58568,                 1.1342,                0.77786,                  1.315,             0.00023121,             0.00023121,             0.00023121
                     90,                0.83132,                0.64721,                 1.1341,                0.86393,                0.72398,                0.79171,                0.58637,                 1.1344,                0.77535,                 1.3142,             0.00021471,             0.00021471,             0.00021471
                     91,                0.83797,                0.59261,                 1.1408,                0.85677,                0.73055,                0.79237,                0.58529,                 1.1328,                0.77353,                 1.3114,             0.00019821,             0.00019821,             0.00019821
                     92,                0.83226,                0.57815,                 1.1396,                0.85163,                0.73661,                0.79294,                0.58549,                 1.1314,                0.77183,                   1.31,              0.0001817,              0.0001817,              0.0001817
                     93,                0.82282,                0.56889,                 1.1309,                0.85417,                 0.7324,                0.79229,                0.58589,                 1.1289,                0.76877,                 1.3072,              0.0001652,              0.0001652,              0.0001652
                     94,                0.81677,                0.56497,                 1.1284,                0.85935,                0.73278,                0.79309,                0.58701,                 1.1247,                 0.7657,                 1.3048,              0.0001487,              0.0001487,              0.0001487
                     95,                0.81105,                0.55305,                 1.1244,                0.85278,                0.73782,                0.79529,                0.58838,                 1.1243,                0.76383,                 1.3072,             0.00013219,             0.00013219,             0.00013219
                     96,                0.81057,                0.55149,                   1.12,                0.85866,                0.73315,                0.79515,                0.58874,                 1.1254,                0.76379,                 1.3086,             0.00011569,             0.00011569,             0.00011569
                     97,                0.80322,                0.54404,                 1.1167,                0.86329,                0.73134,                0.79545,                0.58919,                 1.1239,                0.76458,                 1.3068,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 0.7917,                0.53795,                 1.1079,                0.85914,                0.73552,                0.79563,                0.58885,                 1.1212,                0.76504,                 1.3043,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.79607,                0.53576,                 1.1097,                0.85511,                0.73724,                0.79545,                0.58831,                 1.1213,                0.76543,                 1.3053,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.79563,                0.54146,                 1.1118,                0.85364,                0.73979,                0.79508,                 0.5887,                 1.1207,                  0.764,                 1.3045,             4.9677e-05,             4.9677e-05,             4.9677e-05
